INHIBITION_OF_VOLTAGE_GATED_CD_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS,NEURONAL_SYSTEM,POTASSIUM_CHANNELS,TRANSMISSION_ACROSS_CHEMICAL_AL_SYNAPSES,GPCR_DOWNSTREAM_SIGNALING,SLC_MEDIATED_TRANSMEMBRANE_TR_TRANSPORT,NEUROTRANSMITTER_RECEPTOR_BINBINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL,RAS_ACTIVATION_UOPN_CA2_INFUXFUX_THROUGH_NMDA_RECEPTOR,SIGNALING_BY_GPCR
,KCNAB2,,NSF,F2RL2,SLC35A1,,,DAGLB
,KCNAB3,,PDPK1,F2RL3,SLC35A2,,,DARC
,KCNB1,,PICK1,FFAR1,SLC35A3,,,DGKA
,KCNB2,,PLCB1,FFAR2,SLC35B2,,,DGKB
,KCNC1,,PLCB2,FFAR3,SLC35B4,,,DGKD
,KCNC2,,PLCB3,FGD1,SLC35C1,,,DGKE
,KCNC3,,PRKACB,FGD2,SLC35D1,,,DGKG
,KCNC4,,PRKCA,FGD3,SLC35D2,,,DGKH
,KCND1,,PRKCB,FGD4,SLC36A1,,,DGKI
,KCND2,,PRKCG,FPR1,SLC36A2,,,DGKK
,KCND3,,RAB3A,FPR2,SLC37A4,,,DGKQ
,KCNF1,,RAF1,FPR3,SLC38A1,,,DHH
,KCNG1,,RASGRF1,FSHB,SLC38A2,,,DRD1
,KCNG2,,RASGRF2,FSHR,SLC38A3,,,DRD2
,KCNG3,,RIMS1,GABBR1,SLC38A4,,,DRD3
,KCNG4,,RPS6KA1,GABBR2,SLC38A5,,,DRD5
,KCNH1,,RPS6KA2,GAL,SLC39A1,,,ECT2
,KCNH2,,RPS6KA3,GALR1,SLC39A10,,,EDN1
,KCNH3,,RPS6KA6,GALR2,SLC39A2,,,EDN2
,KCNH4,,RRAS,GALR3,SLC39A3,,,EDN3
,KCNH5,,SLC17A7,GAST,SLC39A4,,,EDNRA
,KCNH6,,SLC18A2,GCG,SLC39A5,,,EDNRB
,KCNH7,,SLC18A3,GCGR,SLC39A6,,,EGFR
,KCNH8,,SLC1A1,GHRH,SLC39A7,,,EMR1
,KCNJ1,,SLC1A2,GHRHR,SLC39A8,,,EMR2
,KCNJ10,,SLC1A3,GHRL,SLC3A1,,,EMR3
,KCNJ11,,SLC1A6,GHSR,SLC3A2,,,F2
,KCNJ12,,SLC1A7,GIP,SLC40A1,,,F2R
,KCNJ14,,SLC22A2,GIPR,SLC41A1,,,F2RL1
,KCNJ15,,SLC32A1,GLP1R,SLC41A2,,,F2RL2
,KCNJ16,,SLC38A1,GLP2R,SLC43A1,,,F2RL3
,KCNJ2,,SLC38A2,GNA11,SLC43A2,,,FFAR1
,KCNJ3,,SLC5A7,GNA12,SLC44A1,,,FFAR2
,KCNJ4,,SLC6A1,GNA13,SLC44A2,,,FFAR3
,KCNJ5,,SLC6A11,GNA14,SLC44A3,,,FGD1
,KCNJ6,,SLC6A12,GNA15,SLC44A4,,,FGD2
,KCNJ8,,SLC6A3,GNAI1,SLC44A5,,,FGD3
,KCNJ9,,SNAP25,GNAI2,SLC47A1,,,FGD4
,KCNK1,,STX1A,GNAI3,SLC47A2,,,FPR1
,KCNK10,,STXBP1,GNAL,SLC4A1,,,FPR2
,KCNK13,,SYN1,GNAQ,SLC4A2,,,FPR3
,KCNK16,,SYN2,GNAS,SLC4A3,,,FSHB
,KCNK17,,SYN3,GNAT1,SLC4A4,,,FSHR
,KCNK18,,SYT1,GNAT2,SLC4A5,,,FZD1
,KCNK2,,UNC13B,GNAZ,SLC4A7,,,FZD10
,KCNK3,,VAMP2,GNB1,SLC4A8,,,FZD2
,KCNK4,,,GNB2,SLC4A9,,,FZD3
,KCNK6,,,GNB3,SLC5A1,,,FZD4
,KCNK7,,,GNB4,SLC5A11,,,FZD5
,KCNK9,,,GNB5,SLC5A2,,,FZD6
,KCNMB1,,,GNG10,SLC5A3,,,FZD7
,KCNMB2,,,GNG11,SLC5A5,,,FZD8
,KCNMB3,,,GNG12,SLC5A6,,,FZD9
,KCNMB4,,,GNG13,SLC5A7,,,GABBR1
,KCNN1,,,GNG2,SLC5A8,,,GABBR2
,KCNN2,,,GNG3,SLC6A1,,,GAL
,KCNN3,,,GNG4,SLC6A11,,,GALR1
,KCNN4,,,GNG5,SLC6A12,,,GALR2
,KCNQ1,,,GNG7,SLC6A14,,,GALR3
,KCNQ2,,,GNG8,SLC6A15,,,GAST
,KCNQ3,,,GNGT1,SLC6A18,,,GCG
,KCNQ4,,,GNGT2,SLC6A19,,,GCGR
,KCNQ5,,,GNRH1,SLC6A2,,,GHRH
,KCNS1,,,GNRH2,SLC6A20,,,GHRHR
,KCNS2,,,GNRHR,SLC6A3,,,GHRL
,KCNS3,,,GPBAR1,SLC6A5,,,GHSR
,KCNV1,,,GPER,SLC6A6,,,GIP
,KCNV2,,,GPR132,SLC6A7,,,GIPR
,LOC642105,,,GPR17,SLC6A9,,,GLP1R
,LOC651907,,,GPR18,SLC7A1,,,GLP2R
,LOC732445,,,GPR4,SLC7A10,,,GNA11
,MAOA,,,GPR44,SLC7A11,,,GNA12
,MAPK1,,,GPR55,SLC7A2,,,GNA13
,MDM2,,,GPR65,SLC7A3,,,GNA14
,MYO6,,,GPR68,SLC7A5,,,GNA15
,NCALD,,,GPRC6A,SLC7A6,,,GNAI1
